Update: 20240831,,,,,,,,,,,,
H: Hepdata tables,,D: data point extraction of preliminary plots,,,X: will not include,M: data table missing for published results,,,,,,
,Web,Collaboration,Probe,Collision system,Observable,Dataset / Version,e-print,Reference,,,,
,,Initial production & Total cross-section,,,,,,,,,,
Published,H,ALICE,Prompt J/ψ,pPb,RpA,5.02 TeV (2016),2105.04957,JHEP 06 (2022) 011,,,qqbar,charm
Published,H,LHCb,Prompt J/ψ,pPb,RpA,5.02 TeV (2013),2109.00220,JHEP 11 (2021) 181,Update pp reference,,qqbar,charm
Obsolete,H,LHCb,Prompt J/ψ,pPb,RpA,5.02 TeV (2013),1308.6729,JHEP 02 (2014) 072,Same pPb ↑,,qqbar,charm
Published,H,ATLAS,Prompt J/ψ,pPb,RpA,5.02 TeV (2013),1709.03089,EPJC 78 (2018) 171,,,qqbar,charm
Published,H,LHCb,Prompt J/ψ,pPb,RpA,8.16 TeV,1706.07122,PLB 774 (2017) 159,,,qqbar,charm
Published,H,ALICE,Prompt J/ψ,pPb,RpA,8.16 TeV,2211.14153,JHEP 07 (2023) 137,mid-rapidity,,qqbar,charm
Published,H,CMS,Prompt ψ(2S),pPb,RpA,5.02 TeV (2013),1805.02248,PLB 790 (2019) 509,,,qqbar,charm
Published,H,ATLAS,Prompt ψ(2S),pPb,RpA,5.02 TeV (2013),1709.03089,EPJC 78 (2018) 171,,,qqbar,charm
Published,H,LHCb,Prompt ψ(2S),pPb,RpA,5.02 TeV (2013),1601.07878,JHEP 03 (2016) 133,,,qqbar,charm
Published,P,LHCb,Prompt ψ(2S),pPb,,8.16 TeV,2401.11342,JHEP 04 (2024) 111,single ratio yet implemented,,qqbar,charm
Published,H,ALICE,Inclusive J/ψ,pPb,RpA vs. y,5.02 TeV (2013),1308.6726,JHEP 02 (2014) 073,,,qqbar,charm
Obsolete,X,ALICE,Inclusive J/ψ,pPb,RpA vs. pT,5.02 TeV (2013),1503.07179,JHEP 06 (2015) 55,,,qqbar,charm
Published,H,ALICE,Inclusive J/ψ,pPb,RpA,8.16 TeV,1805.04381,JHEP 07 (2018) 160,fwd + bwd,,qqbar,charm
Published,H,ALICE,Inclusive J/ψ,pPb,RpA,8.16 TeV,2211.14153,JHEP 07 (2023) 137,mid-rapidity,,qqbar,charm
Published,P,ALICE,Inclusive J/ψ,pPb,QpA,8.16 TeV,2008.04806,JHEP 02 (2021) 002,Only added vs. Ncoll,,qqbar,charm
Published,H,STAR,Inclusive J/ψ,pAu,RpA,200 GeV,2110.09666,PLB 825 (2022) 136865,,,qqbar,charm
Preliminary,,STAR,Inclusive J/ψ,pAu,RpA,200 GeV,2204.00005,QM'22,,,qqbar,charm
Published,H,STAR,Inclusive J/ψ,dAu,RpA,200 GeV,1602.02212,PRC 93 (2016) 064904,,,qqbar,charm
Published,H,PHENIX,Inclusive J/ψ,,RpA,200 GeV,1910.14487,PRC 102 (2020) 014902,,,qqbar,charm
Published,H,PHENIX,Inclusive J/ψ,dAu,RpA,200 GeV,1204.0777,PRC 87 (2013) 034904,vs. pT,Got Hepdata!!,qqbar,charm
Published,H,PHENIX,Inclusive J/ψ,dAu,RpA,200 GeV,1010.1246,PRL 107 (2011) 142301,vs. y,Got Hepdata!!,qqbar,charm
Published,H,ALICE,Inclusive ψ(2S),pPb,RpA,5.02 TeV (2013),1405.3796,JHEP 12 (2014) 073,,,qqbar,charm
Published,X,ALICE,Inclusive ψ(2S),pPb,QpA,5.02 TeV (2013),1603.02816,JHEP 06 (2016) 50,,,qqbar,charm
Published,H,LHCb,Inclusive ψ(2S),pPb,RpA,5.02 TeV (2013),1601.07878,JHEP 03 (2016) 133,,,qqbar,charm
Published,H,ALICE,Inclusive ψ(2S),pPb,RpA,8.16 TeV,2003.06053,JHEP 07 (2020) 237,,,qqbar,charm
Published,H,ALICE,Inclusive ψ(2S),pPb,QpA,8.16 TeV,2008.04806,JHEP 02 (2021) 002,,,qqbar,charm
Published,H,PHENIX,Inclusive ψ(2S),,RpA,200 GeV,2202.03863,PRC 105 (2022) 064912,,compilation figure vs. y,qqbar,charm
Published,H,PHENIX,Inclusive ψ(2S),dAu,RpA,200 GeV,1305.5516,PRL 111 (2013) 202301,,Got Hepdata!!,qqbar,charm
Preliminary,X,CMS,Prompt ψ(2S),pPb,ψ(2S) to J/ψ vs. mult,8.16 TeV,2406.00000,SQM'24,,,qqbar,charm
Published,X,LHCb,Prompt ψ(2S),pp,ψ(2S) to J/ψ vs. mult,13 TeV,2312.15201,JHEP 05 (2024) 243,,,qqbar,charm
Published,X,PHENIX,Inclusive ψ(2S),,ψ(2S) to J/ψ vs. Ncoll,200 GeV,2202.03863,PRC 105 (2022) 064912,,,qqbar,charm
